,location,total_sqft,bath,price,bhk,encoded_loc
2001,Marathahalli,1071.0,2,52.25,2,165
2002,5th Phase JP Nagar,1400.0,2,88.0,3,6
2003,Tumkur Road,1246.0,2,82.0,2,224
2004,Sarjapur,1215.0,2,40.0,2,203
2005,Munnekollal,1200.0,2,49.5,2,169
2006,Kodigehaali,1200.0,2,60.0,2,143
2007,Kaval Byrasandra,945.0,2,50.0,2,137
2008,Hormavu,1175.0,2,52.0,2,103
2009,Whitefield,920.0,2,63.0,2,235
2010,Others,1600.0,2,110.0,2,184
2011,Others,955.0,1,34.01,2,184
2012,Uttarahalli,1425.0,2,64.0,3,226
2013,Whitefield,1165.0,2,40.5,2,235
2014,Kaggadasapura,1050.0,2,48.0,2,122
2015,Others,1370.0,2,75.0,3,184
2016,Electronic City,1374.0,2,72.0,3,77
2017,Harlur,1754.0,3,124.0,3,94
2018,Kothanur,1847.0,3,110.0,3,150
2019,Ambedkar Nagar,1850.0,4,139.0,3,15
2020,Chikka Tirupathi,3297.0,3,135.0,3,61
2021,Others,1187.0,2,45.0,2,184
2022,Bommasandra Industrial Area,1400.0,2,40.44,3,53
2023,Doddaballapur,3000.0,2,120.0,3,71
2024,Thanisandra,693.0,1,34.3,1,219
2025,KR Puram,1021.0,2,48.0,2,119
2026,Thigalarapalya,1165.0,2,95.0,2,220
2027,Horamavu Agara,1756.0,3,92.0,3,101
2028,Bharathi Nagar,1739.0,3,105.0,3,46
2029,Varthur,1280.0,2,65.0,2,227
2030,Marathahalli,1215.0,2,58.86,2,165
2031,Munnekollal,950.0,2,46.5,2,169
2032,Kengeri,1082.0,2,49.0,3,139
2033,Devanahalli,1080.0,2,53.35,2,69
2034,Arekere,1100.0,2,55.0,2,22
2035,Ardendale,3200.0,4,205.0,4,21
2036,Sarjapur  Road,1311.0,2,78.0,2,204
2037,Raja Rajeshwari Nagar,1608.0,3,67.98,3,194
2038,Begur Road,1160.0,2,36.0,2,43
2039,Whitefield,1170.0,2,71.0,2,235
2040,Kengeri,1155.0,2,40.6,2,139
2041,Rayasandra,1065.0,2,44.95,2,199
2042,Neeladri Nagar,674.0,1,21.0,1,179
2043,Ambedkar Nagar,1936.0,4,126.0,3,15
2044,Others,1100.0,2,38.45,2,184
2045,Ramagondanahalli,2257.0,4,157.0,3,197
2046,Nagarbhavi,1055.0,2,55.0,2,174
2047,Raja Rajeshwari Nagar,1530.0,3,51.87,3,194
2048,Others,1700.0,3,97.0,3,184
2049,Raja Rajeshwari Nagar,1575.0,2,78.0,3,194
2050,Rajiv Nagar,1263.0,2,93.32,2,196
2051,KR Puram,2186.5,3,69.315,3,119
2052,Kengeri Satellite Town,1043.0,2,65.0,2,140
2053,Hennur,1255.0,2,53.5,2,98
2054,JP Nagar,2002.5,2,93.865,2,113
2055,Yelahanka,1550.0,3,120.0,3,237
2056,Others,1360.0,3,55.0,3,184
2057,Others,1100.0,2,75.0,2,184
2058,8th Phase JP Nagar,1455.0,3,73.31,3,9
2059,KR Puram,1035.0,2,40.5,2,119
2060,Harlur,1152.0,2,69.0,2,94
2061,Bellandur,1299.0,2,82.0,2,44
2062,Rachenahalli,1050.0,2,52.5,2,193
2063,Pai Layout,1050.0,2,40.0,2,186
2064,Vittasandra,1246.0,2,67.4,2,234
2065,Others,1929.0,3,115.0,3,184
2066,Hennur,1285.0,2,60.0,2,98
2067,Margondanahalli,1200.0,2,65.0,3,166
2068,Others,3161.0,4,214.0,4,184
2069,Sompura,1025.0,2,37.0,3,213
2070,Malleshwaram,1124.0,3,80.0,2,164
2071,Balagere,1012.0,2,54.59,2,29
2072,8th Phase JP Nagar,871.0,2,55.0,2,9
2073,Others,1020.0,2,40.0,2,184
2074,Rachenahalli,1550.0,3,73.5,3,193
2075,Akshaya Nagar,1410.0,2,80.0,3,13
2076,Chikka Tirupathi,3500.0,5,150.0,4,61
2077,Whitefield,1118.0,2,75.0,2,235
2078,Thanisandra,1098.0,2,68.0,2,219
2079,Kanakapura,1130.0,2,45.2,2,130
2080,Sarjapur  Road,1145.0,2,75.0,2,204
2081,Others,1051.0,2,33.0,2,184
2082,Marathahalli,1102.0,2,53.67,2,165
2083,Hebbal,823.0,2,50.63,2,95
2084,Abbigere,880.0,2,35.0,2,12
2085,Budigere,1991.0,4,100.0,3,56
2086,TC Palaya,1100.0,3,50.0,3,217
2087,Gubbalala,1745.0,3,115.0,3,87
2088,Others,1100.0,2,70.0,2,184
2089,5th Phase JP Nagar,1450.0,2,58.0,2,6
2090,Singasandra,3366.0,4,120.0,4,211
2091,Sahakara Nagar,1150.0,2,54.0,2,200
2092,Bommanahalli,1090.0,3,44.0,2,51
2093,Kaggadasapura,1132.0,2,42.0,2,122
2094,Hulimavu,1375.0,2,80.0,2,108
2095,Thanisandra,760.0,1,50.3,1,219
2096,Kaggadasapura,1180.0,2,65.0,2,122
2097,Jigani,918.0,2,45.0,2,117
2098,Margondanahalli,1200.0,1,53.0,2,166
2099,Ardendale,1728.0,3,95.0,3,21
2100,BTM 2nd Stage,1200.0,2,80.0,2,25
2101,6th Phase JP Nagar,1280.0,2,56.0,2,7
2102,Others,1455.0,2,56.0,3,184
2103,Others,440.0,1,28.0,1,184
2104,Kanakpura Road,1500.0,3,97.0,3,131
2105,Whitefield,1800.0,3,110.0,3,235
2106,Mysore Road,1525.0,3,96.0,3,171
2107,Rachenahalli,1204.0,2,38.5,2,193
2108,Old Madras Road,1225.0,2,53.55,2,183
2109,Bannerghatta Road,1650.0,3,122.0,3,38
2110,Others,4200.0,4,255.0,4,184
2111,Others,1200.0,2,55.0,2,184
2112,9th Phase JP Nagar,1005.0,2,42.0,2,10
2113,Whitefield,1562.0,3,103.0,3,235
2114,Devanahalli,5000.0,5,395.0,4,69
2115,Ramamurthy Nagar,1200.0,2,42.0,2,198
2116,Kasavanhalli,1555.0,3,82.5,3,134
2117,KR Puram,1550.0,2,71.0,2,119
2118,Whitefield,1190.0,2,67.0,2,235
2119,Chikkalasandra,1070.0,2,50.0,2,63
2120,Jalahalli East,1020.0,2,42.48,2,116
2121,Yelahanka,1610.0,3,115.0,3,237
2122,Others,700.0,1,41.0,1,184
2123,Others,1300.0,2,49.0,3,184
2124,Hebbal,1069.0,3,65.4,3,95
2125,Marathahalli,1900.0,3,123.0,3,165
2126,Old Airport Road,1655.0,2,97.65,2,182
2127,Uttarahalli,1155.0,2,40.42,2,226
2128,Sarjapur  Road,1300.0,2,70.0,3,204
2129,Electronic City,1100.0,2,45.0,2,77
2130,Doddathoguru,1030.0,2,42.0,2,73
2131,Vittasandra,2105.0,2,70.2,2,234
2132,Bhoganhalli,1700.0,3,126.0,3,47
2133,Jakkur,1760.0,3,139.0,3,114
2134,Others,1400.0,2,67.0,2,184
2135,Others,1200.0,2,53.0,2,184
2136,Bannerghatta Road,912.0,2,55.0,2,38
2137,Whitefield,1102.0,2,48.0,2,235
2138,Others,1535.0,3,55.0,3,184
2139,Jigani,918.0,2,63.2,2,117
2140,Begur Road,1500.0,2,70.0,3,43
2141,Kasavanhalli,1476.0,3,89.0,3,134
2142,Mysore Road,1200.0,2,65.0,2,171
2143,Vijayanagar,606.0,1,34.78,1,231
2144,Others,1100.0,2,61.0,2,184
2145,Garudachar Palya,1295.0,2,59.5,3,82
2146,Neeladri Nagar,527.0,1,26.0,1,179
2147,OMBR Layout,1300.0,2,80.0,2,181
2148,Others,1260.0,1,41.0,1,184
2149,Koramangala,1140.0,2,75.2,2,148
2150,Whitefield,2321.0,4,128.0,3,235
2151,Sarjapur  Road,1390.0,2,62.0,2,204
2152,Sarjapur  Road,1725.0,3,90.0,3,204
2153,Hennur Road,1186.0,2,63.0,3,99
2154,Kanakpura Road,1230.0,2,85.0,2,131
2155,Others,600.0,1,17.0,1,184
2156,Yeshwanthpur,1313.0,3,96.0,3,240
2157,Ambalipura,1250.0,2,66.25,2,14
2158,Binny Pete,660.0,1,54.0,1,49
2159,Old Madras Road,1100.0,2,70.0,2,183
2160,Electronics City Phase 1,1015.0,2,56.0,2,79
2161,Gottigere,812.0,1,26.0,1,85
2162,Others,1360.0,2,65.0,3,184
2163,Nehru Nagar,2167.0,3,170.0,3,180
2164,Raja Rajeshwari Nagar,1200.0,2,35.0,2,194
2165,Others,1165.0,2,75.0,2,184
2166,BTM 2nd Stage,1274.0,2,70.0,2,25
2167,Raja Rajeshwari Nagar,1151.0,2,39.02,2,194
2168,Thubarahalli,1626.0,2,120.0,3,221
2169,Banashankari Stage V,1035.0,2,35.77,2,33
2170,Others,1272.0,4,75.0,3,184
2171,Others,965.0,2,45.0,2,184
2172,Kothannur,1070.0,2,42.79,2,149
2173,Raja Rajeshwari Nagar,1570.0,2,65.0,3,194
2174,Others,780.0,2,25.0,2,184
2175,Others,1000.0,2,65.0,3,184
2176,5th Phase JP Nagar,1700.0,2,100.0,3,6
2177,Haralur Road,1850.0,3,110.0,3,93
2178,Kereguddadahalli,904.0,2,30.0,2,141
2179,Others,1121.0,2,43.72,2,184
2180,7th Phase JP Nagar,1385.0,2,58.17,3,8
2181,Sahakara Nagar,1270.0,2,69.85,2,200
2182,Kanakpura Road,1450.0,3,56.0,3,131
2183,Mahadevpura,730.0,1,35.0,1,160
2184,Raja Rajeshwari Nagar,1580.0,3,53.56,3,194
2185,Thanisandra,1111.0,2,50.0,2,219
2186,Varthur,977.0,2,36.0,2,227
2187,Others,674.0,1,19.9,2,184
2188,Sarjapur,2540.0,4,115.0,4,203
2189,Jakkur,1290.0,2,100.0,2,114
2190,Abbigere,795.0,2,32.54,2,12
2191,Kanakpura Road,700.0,1,35.0,2,131
2192,Others,1306.0,2,58.0,3,184
2193,Others,2401.0,3,185.0,3,184
2194,Bommenahalli,1670.0,3,135.0,4,54
2195,Marsur,1200.0,3,90.0,3,167
2196,Dodda Nekkundi,1804.0,3,121.0,3,70
2197,Hoskote,1225.0,3,40.0,3,106
2198,Thanisandra,1652.5,2,58.68,2,219
2199,Bellandur,900.0,2,56.0,2,44
2200,Binny Pete,1350.0,2,91.0,2,49
2201,Kaggalipura,700.0,1,36.0,1,123
2202,Poorna Pragna Layout,1160.0,2,46.39,2,190
2203,Hennur Road,1680.0,3,99.27,3,99
2204,LB Shastri Nagar,1043.0,2,55.0,2,155
2205,Hebbal,1040.0,2,46.0,2,95
2206,Tindlu,1357.0,2,65.0,3,223
2207,Others,1225.0,2,47.0,2,184
2208,Yelachenahalli,1130.0,2,40.0,2,236
2209,Basavangudi,2500.0,4,150.0,4,39
2210,Sultan Palaya,1700.0,3,120.0,3,216
2211,Doddathoguru,1549.0,3,65.0,3,73
2212,Yeshwanthpur,1400.0,2,100.0,2,240
2213,Dodda Nekkundi,1080.0,2,50.0,2,70
2214,Abbigere,1005.0,2,39.59,2,12
2215,Whitefield,1320.0,2,95.0,2,235
2216,Anandapura,1475.0,2,50.0,4,17
2217,Kudlu Gate,2489.0,2,99.745,3,152
2218,Others,1110.0,2,51.0,2,184
2219,Others,1300.0,2,54.0,2,184
2220,Electronic City,1128.0,2,65.35,2,77
2221,Jakkur,1452.19,2,100.0,2,114
2222,Banashankari,2600.0,4,135.0,3,30
2223,Sanjay nagar,630.0,1,35.0,2,201
2224,Hosa Road,1243.0,2,48.5,2,104
2225,Others,960.0,2,32.0,2,184
2226,Others,1690.0,3,100.0,3,184
2227,Whitefield,735.0,2,35.0,2,235
2228,Banaswadi,1365.0,2,73.0,2,35
2229,Hebbal,1420.0,2,99.39,2,95
2230,Somasundara Palya,1570.0,3,68.0,3,212
2231,Bisuvanahalli,850.0,1,32.0,2,50
2232,7th Phase JP Nagar,1575.0,2,110.0,3,8
2233,Thigalarapalya,1418.0,2,104.0,2,220
2234,Uttarahalli,1050.0,2,42.0,2,226
2235,Ulsoor,1340.0,3,90.0,3,225
2236,Yelahanka New Town,1610.0,3,92.0,3,238
2237,Electronic City Phase II,1160.0,2,33.5,2,78
2238,Kudlu,1092.0,2,44.0,2,151
2239,Yelahanka,1455.0,3,61.5,3,237
2240,Others,799.0,2,38.0,2,184
2241,Whitefield,1896.0,3,75.0,3,235
2242,Ardendale,1100.0,2,48.0,2,21
2243,Bellandur,1350.0,2,79.0,2,44
2244,Others,1355.0,3,61.0,3,184
2245,Others,1350.0,2,90.0,2,184
2246,Kasavanhalli,1493.0,3,82.0,3,134
2247,8th Phase JP Nagar,1098.0,2,43.91,2,9
2248,Others,1460.0,3,88.0,3,184
2249,Varthur,1091.0,2,32.0,2,227
2250,Yelahanka,1180.0,2,42.0,2,237
2251,Kanakpura Road,1366.0,3,76.85,2,131
2252,Others,1685.0,3,95.0,3,184
2253,Koramangala,1260.0,2,100.0,2,148
2254,Whitefield,3010.0,3,200.0,3,235
2255,Whitefield,1346.0,2,96.17,2,235
2256,Sarjapur  Road,2199.0,2,98.94,3,204
2257,7th Phase JP Nagar,1850.0,3,140.0,3,8
2258,Electronic City,755.0,1,34.0,2,77
2259,Parappana Agrahara,1194.0,2,46.0,2,188
2260,Others,800.0,1,52.0,1,184
2261,Vijayanagar,1352.0,2,68.0,2,231
2262,Thanisandra,2002.0,3,112.0,3,219
2263,Others,4000.0,5,280.0,4,184
2264,Kaval Byrasandra,1060.0,2,45.0,2,137
2265,Kanakpura Road,1419.59,2,59.0,3,131
2266,Raja Rajeshwari Nagar,1196.0,2,51.15,2,194
2267,Electronic City,1220.0,2,35.24,3,77
2268,Electronics City Phase 1,1595.0,3,75.0,3,79
2269,Banashankari,1260.0,2,75.0,2,30
2270,Hebbal,1100.0,2,47.0,2,95
2271,ISRO Layout,1180.0,2,52.0,2,109
2272,Electronic City,4000.0,5,150.0,4,77
2273,Akshaya Nagar,1662.0,3,85.0,3,13
2274,Ambedkar Nagar,1862.0,3,119.0,3,15
2275,Raja Rajeshwari Nagar,1419.0,2,48.0,2,194
2276,Whitefield,1410.0,3,43.71,3,235
2277,Raja Rajeshwari Nagar,1560.0,2,62.4,3,194
2278,Thanisandra,1634.0,3,78.0,3,219
2279,Whitefield,1150.0,2,44.0,3,235
2280,Others,1100.0,2,53.0,2,184
2281,Yelahanka,1616.0,3,65.0,3,237
2282,Nagavarapalya,1392.0,2,99.0,2,177
2283,Jakkur,1798.0,3,120.0,3,114
2284,Babusapalaya,1675.0,3,75.0,3,27
2285,Others,2000.0,4,103.0,5,184
2286,Hebbal,1700.0,3,124.0,3,95
2287,Hulimavu,1248.0,2,69.0,2,108
2288,Others,1147.0,2,54.0,2,184
2289,Sultan Palaya,1100.0,2,40.0,2,216
2290,Vijayanagar,1527.0,3,115.0,3,231
2291,Kanakpura Road,525.0,1,25.0,1,131
2292,Kaggadasapura,1100.0,2,58.0,2,122
2293,Seegehalli,1118.0,2,37.5,2,208
2294,Kanakapura,1476.0,3,75.0,3,130
2295,Others,2100.0,3,75.0,3,184
2296,Others,1215.0,2,46.5,3,184
2297,Ambalipura,1332.0,2,79.0,2,14
2298,Hennur Road,1350.0,2,49.0,2,99
2299,NGR Layout,1105.0,2,49.73,2,172
2300,Kasavanhalli,1200.0,2,50.0,2,134
2301,Ramagondanahalli,1251.0,2,47.4,2,197
2302,Pai Layout,1400.0,2,67.0,3,186
2303,Hegde Nagar,1703.0,3,113.0,3,97
2304,NRI Layout,2500.0,5,130.0,5,173
2305,Varthur,1250.0,3,71.0,3,227
2306,Jigani,933.0,2,43.0,2,117
2307,Others,461.82,1,31.7,1,184
2308,Brookefield,1262.0,2,75.0,2,55
2309,Yelahanka,915.0,2,48.0,2,237
2310,Panathur,1370.0,2,61.5,3,187
2311,Malleshpalya,1210.0,2,55.0,2,163
2312,Others,1500.0,2,85.0,3,184
2313,Others,1065.0,2,50.0,2,184
2314,Ramamurthy Nagar,1515.0,3,65.0,3,198
2315,Sarjapura - Attibele Road,1800.0,4,110.0,4,205
2316,Uttarahalli,1300.0,2,55.0,3,226
2317,Vijayanagar,989.0,2,60.0,2,231
2318,Jakkur,1300.0,2,85.0,2,114
2319,Marathahalli,1045.0,2,60.0,2,165
2320,Others,1205.0,2,42.18,2,184
2321,Others,1260.0,2,75.0,2,184
2322,Bommanahalli,1250.0,2,42.5,3,51
2323,Others,1199.0,2,50.0,2,184
2324,Lakshminarayana Pura,1149.0,2,75.0,2,157
2325,Sarjapur  Road,2180.0,3,170.0,3,204
2326,Hulimavu,1818.0,3,135.0,3,108
2327,Others,1070.0,2,33.0,2,184
2328,Nagarbhavi,1350.0,2,54.6,3,174
2329,Chandapura,630.0,1,27.0,2,59
2330,Hoodi,1430.0,2,113.0,2,100
2331,Nagavara,2430.0,4,180.0,3,176
2332,Sarjapur  Road,1084.0,2,55.0,2,204
2333,Hennur Road,1186.0,2,56.0,3,99
2334,Kengeri,1255.0,2,50.0,2,139
2335,Haralur Road,3400.0,5,240.0,4,93
2336,Hosa Road,1541.0,3,69.84,3,104
2337,Iblur Village,3596.0,5,282.0,4,111
2338,Raja Rajeshwari Nagar,1295.0,2,70.0,2,194
2339,7th Phase JP Nagar,1370.0,2,54.79,3,8
2340,Electronic City,1100.0,2,40.0,2,77
2341,JP Nagar,1200.0,2,62.0,2,113
2342,Gunjur,2000.0,3,95.0,4,88
2343,Sarjapur  Road,1220.0,3,62.0,3,204
2344,Others,1950.0,3,130.0,3,184
2345,Somasundara Palya,1178.0,2,73.0,2,212
2346,Dasanapura,1286.0,3,61.44,3,67
2347,Begur Road,1160.0,2,42.0,2,43
2348,Jigani,918.0,2,55.0,2,117
2349,Electronic City,1563.0,3,91.84,3,77
2350,Others,1326.0,2,62.17,2,184
2351,Begur Road,1240.0,2,39.06,2,43
2352,Kaggadasapura,1325.0,2,50.0,2,122
2353,Sonnenahalli,1100.0,2,44.0,2,214
2354,Gollarapalya Hosahalli,1605.0,3,50.0,3,84
2355,Somasundara Palya,1260.0,2,60.0,2,212
2356,Hoodi,1553.0,3,83.09,3,100
2357,Whitefield,1280.0,2,52.0,2,235
2358,Hebbal,1550.0,2,75.0,3,95
2359,Murugeshpalya,1550.0,3,74.0,3,170
2360,Electronics City Phase 1,1515.0,2,80.91,3,79
2361,Hosa Road,1332.0,2,86.12,3,104
2362,Electronic City,1652.0,3,70.0,3,77
2363,Hegde Nagar,1570.0,3,105.0,3,97
2364,Sector 2 HSR Layout,794.0,1,60.0,1,206
2365,Seegehalli,1200.0,2,62.0,3,208
2366,Sarjapur  Road,1750.0,3,110.0,3,204
2367,Hebbal,1053.0,2,48.0,2,95
2368,Kadubeesanahalli,1665.0,3,70.0,3,120
2369,Bommasandra,1447.0,3,80.0,3,52
2370,Balagere,1012.0,2,75.0,2,29
2371,Malleshpalya,1900.0,3,60.0,3,163
2372,Narayanapura,1308.0,2,92.66,2,178
2373,Hormavu,1351.0,2,53.0,1,103
2374,Gunjur,1140.0,2,49.11,2,88
2375,Jakkur,4305.905,4,260.5,4,114
2376,Uttarahalli,1250.0,2,55.0,3,226
2377,Kanakapura,1290.0,3,45.15,3,130
2378,Garudachar Palya,1320.0,2,60.6,3,82
2379,Akshaya Nagar,1662.0,3,85.5,3,13
2380,Battarahalli,1777.0,3,100.0,3,41
2381,Kadugodi,1900.0,3,108.0,3,121
2382,Anandapura,1576.0,3,59.1,3,17
2383,Sompura,1020.0,2,41.0,2,213
2384,Others,2100.0,3,170.0,3,184
2385,Raja Rajeshwari Nagar,648.0,1,31.75,1,194
2386,Neeladri Nagar,1167.0,2,38.0,3,179
2387,Hoodi,1220.0,2,50.89,2,100
2388,Vittasandra,1259.0,2,67.4,2,234
2389,Gottigere,2000.0,4,82.0,4,85
2390,8th Phase JP Nagar,1800.0,3,80.0,3,9
2391,Others,1991.0,3,160.0,3,184
2392,Bannerghatta,1665.0,3,110.0,3,37
2393,Others,1234.0,2,61.0,2,184
2394,Mysore Road,1340.0,2,64.31,3,171
2395,Banashankari,1170.0,2,46.79,2,30
2396,Electronics City Phase 1,995.0,2,46.0,2,79
2397,Old Airport Road,1075.0,2,60.0,2,182
2398,Electronic City,1025.0,2,54.5,2,77
2399,Rachenahalli,2721.0,3,113.0,3,193
2400,Thanisandra,2000.0,3,99.0,3,219
2401,Whitefield,2500.0,4,155.0,4,235
2402,Mallasandra,1325.0,2,70.0,2,162
2403,Kadugodi,1314.0,2,68.2,2,121
2404,Kanakpura Road,2265.0,3,136.0,3,131
2405,Yelahanka,1026.0,2,41.0,2,237
2406,Others,1200.0,3,66.0,3,184
2407,Others,2220.0,4,65.0,3,184
2408,KR Puram,1727.5,2,51.22,2,119
2409,Sarjapur  Road,1888.0,4,95.0,3,204
2410,JP Nagar,1300.0,2,90.87,2,113
2411,Rajaji Nagar,1216.0,2,97.16,2,195
2412,Begur,1559.0,3,63.0,3,42
2413,Harlur,1290.0,2,87.0,2,94
2414,Whitefield,905.0,1,55.0,1,235
2415,Sarjapur  Road,1300.0,3,60.0,3,204
2416,Channasandra,1115.0,2,33.45,2,60
2417,Ambedkar Nagar,2150.0,4,125.0,3,15
2418,Marathahalli,1305.0,2,69.0,3,165
2419,Kanakpura Road,1252.0,2,56.32,2,131
2420,Whitefield,1200.0,2,46.13,2,235
2421,Others,1375.0,2,105.0,2,184
2422,Subramanyapura,1313.0,2,66.5,2,215
2423,Attibele,3640.0,4,275.0,4,23
2424,Others,1693.0,3,108.0,3,184
2425,Others,1160.0,2,41.75,2,184
2426,Subramanyapura,1255.0,2,79.0,3,215
2427,Yelahanka New Town,1700.0,3,90.0,3,238
2428,Uttarahalli,1700.0,3,88.0,3,226
2429,Harlur,1749.0,3,115.0,3,94
2430,Dasanapura,1500.0,3,65.0,2,67
2431,Others,1175.0,2,48.0,2,184
2432,Akshaya Nagar,1280.0,2,60.0,2,13
2433,Ramagondanahalli,1610.0,2,115.0,3,197
2434,Electronic City,1070.0,2,46.0,2,77
2435,TC Palaya,1200.0,2,66.0,2,217
2436,9th Phase JP Nagar,1127.0,2,50.0,2,10
2437,Others,600.0,2,23.0,2,184
2438,Others,1364.0,2,70.0,2,184
2439,Whitefield,2268.0,3,146.0,4,235
2440,Others,1150.0,2,77.5,3,184
2441,Others,1146.0,2,39.5,2,184
2442,Magadi Road,1345.0,2,55.0,2,159
2443,Others,1110.0,2,41.0,2,184
2444,Kengeri,750.0,2,36.0,2,139
2445,Others,1156.0,2,49.5,2,184
2446,Pattandur Agrahara,1247.0,2,59.8,2,189
2447,Others,1058.0,2,60.0,2,184
2448,Kaggalipura,950.0,2,48.0,2,123
2449,Vijayanagar,1520.0,2,103.0,3,231
2450,Others,900.0,1,30.0,1,184
2451,Hennur Road,2350.0,3,174.0,3,99
2452,Thanisandra,1050.0,2,46.0,2,219
2453,Laggere,2800.0,5,125.0,5,156
2454,Others,1400.0,2,65.0,2,184
2455,8th Phase JP Nagar,2700.0,4,130.0,4,9
2456,Bommasandra,920.0,2,37.46,2,52
2457,Sarjapur  Road,1200.0,3,70.0,3,204
2458,Haralur Road,1464.0,2,56.0,2,93
2459,Electronics City Phase 1,1555.0,2,82.0,3,79
2460,Whitefield,1150.0,2,55.0,2,235
2461,Kadubeesanahalli,970.0,2,35.0,2,120
2462,Banashankari,2500.0,4,95.0,4,30
2463,Others,1166.0,2,53.0,2,184
2464,Electronic City,1350.0,3,58.0,3,77
2465,Others,900.0,2,46.0,2,184
2466,Others,1190.0,3,55.0,3,184
2467,Kodichikkanahalli,1495.0,2,75.0,3,142
2468,Banashankari Stage III,1350.0,2,68.0,3,32
2469,Green Glen Layout,940.0,2,56.8,2,86
2470,Raja Rajeshwari Nagar,1100.0,2,55.0,2,194
2471,Kaikondrahalli,1300.0,2,61.0,2,124
2472,Hoodi,1105.0,2,46.37,2,100
2473,Sarjapur  Road,2600.0,3,200.0,3,204
2474,Yelahanka,1517.0,3,76.3,3,237
2475,Jalahalli,1615.0,3,89.75,3,115
2476,Others,1500.0,3,65.0,3,184
2477,Mysore Road,1082.0,3,50.5,3,171
2478,Marathahalli,1365.0,2,73.0,2,165
2479,CV Raman Nagar,1392.0,2,98.0,2,57
2480,Kodigehalli,1086.0,2,33.66,2,144
2481,Hennur Road,1586.0,3,93.94,3,99
2482,Hennur,1100.0,2,60.0,2,98
2483,Electronic City Phase II,1065.0,2,30.75,2,78
2484,TC Palaya,1500.0,2,120.0,3,217
2485,7th Phase JP Nagar,1575.0,2,120.0,3,8
2486,Hennur Road,1975.0,3,123.0,3,99
2487,Others,820.0,2,24.0,2,184
2488,Gubbalala,1745.0,3,110.0,3,87
2489,Nagarbhavi,1223.0,2,60.0,2,174
2490,Ananth Nagar,1200.0,2,65.0,3,18
2491,Basaveshwara Nagar,1200.0,2,90.0,2,40
2492,Binny Pete,665.0,1,46.08,1,49
2493,Bharathi Nagar,1351.0,2,70.0,2,46
2494,Sector 7 HSR Layout,3900.0,3,300.0,3,207
2495,Thanisandra,1588.0,3,75.55,3,219
2496,Amruthahalli,900.0,2,60.0,2,16
2497,Harlur,3385.0,4,260.0,4,94
2498,Panathur,1370.0,2,75.0,3,187
2499,Whitefield,1500.0,3,71.8,3,235
2500,Hoodi,1247.0,2,53.0,2,100
2501,Balagere,1020.07,2,68.38,2,29
2502,Others,1033.0,2,32.0,3,184
2503,Others,1460.0,2,73.0,3,184
2504,Garudachar Palya,1150.0,2,52.8,2,82
2505,Sarjapur  Road,5965.0,5,385.0,5,204
2506,Babusapalaya,1141.0,2,46.0,2,27
2507,Doddaballapur,4200.0,4,325.0,4,71
2508,Hosa Road,1665.0,2,125.0,3,104
2509,Kanakapura,1295.0,2,64.0,2,130
2510,Haralur Road,1230.0,2,78.0,2,93
2511,Others,1080.0,2,75.0,3,184
2512,Kaggalipura,1000.0,2,60.0,2,123
2513,Whitefield,937.0,1,32.79,1,235
2514,Rayasandra,1708.0,3,75.0,3,199
2515,Thanisandra,1697.0,3,115.0,3,219
2516,Whitefield,3537.0,5,210.0,4,235
2517,Hosa Road,615.0,1,28.29,1,104
2518,Banashankari,1350.0,2,83.0,3,30
2519,Kanakpura Road,2245.0,2,66.4,3,131
2520,Jalahalli,1083.0,2,32.49,2,115
2521,Gottigere,1460.0,2,65.0,3,85
2522,Babusapalaya,1084.0,2,58.0,2,27
2523,Bommasandra,1035.0,2,41.43,2,52
2524,Others,2400.0,2,150.0,3,184
2525,Hosur Road,460.0,1,21.0,1,107
2526,Whitefield,1285.0,2,55.9,2,235
2527,Sarjapur,1200.0,3,78.0,3,203
2528,Others,1070.0,2,35.0,2,184
2529,Hegde Nagar,1801.0,3,140.0,3,97
2530,Whitefield,1697.0,3,115.0,3,235
2531,AECS Layout,1199.0,2,65.0,2,11
2532,Marathahalli,3800.0,4,205.0,4,165
2533,Others,1125.0,2,75.0,2,184
2534,Anandapura,1200.0,2,67.0,2,17
2535,Subramanyapura,1050.0,2,41.0,2,215
2536,Nagarbhavi,956.0,2,49.0,2,174
2537,Sarjapur,1000.0,2,30.0,2,203
2538,Others,1596.0,3,95.0,3,184
2539,Kanakpura Road,1296.0,2,89.06,2,131
2540,Others,1639.0,3,123.0,3,184
2541,Electronic City Phase II,1219.0,2,61.25,2,78
2542,Uttarahalli,1200.0,3,50.0,3,226
2543,Bannerghatta Road,1218.0,2,73.0,2,38
2544,Others,920.0,2,37.0,2,184
2545,Yeshwanthpur,2559.0,3,141.0,3,240
2546,2nd Phase Judicial Layout,525.0,1,26.0,1,3
2547,Bannerghatta Road,1427.0,2,48.51,3,38
2548,Kothannur,1270.0,3,45.0,3,149
2549,Ramagondanahalli,920.0,2,65.0,2,197
2550,Ramamurthy Nagar,1355.0,2,40.0,3,198
2551,Lingadheeranahalli,1530.0,2,90.0,3,158
2552,Others,1372.0,2,90.0,3,184
2553,Nehru Nagar,2363.0,5,120.0,4,180
2554,Marathahalli,3895.0,4,220.0,4,165
2555,Jakkur,1950.0,3,131.0,3,114
2556,Others,885.0,2,40.0,2,184
2557,Yelahanka,600.0,2,27.0,2,237
